species,DateOfObs,method,observer,AliveorDea,DOR,air_temp_f,sub_temp_f,body_temp_,pit,pit_id,weight_g,length_cm,sex,age,recapture,num_subcau,num_rattle,SFD,DNA,notes,,
American Bullfrog,6/27/2019 14:34,active search,,alive,no,,,,No,,,,,,no,,,,,,,
American Bullfrog,6/17/2019 19:38,active search,,,,,,,No,,,,,,,,,,,jumped into water. made distress call ,,
Gopher Snake,5/19/2020,driving,cf,alive,no,77,99,101,yes,3D6.1D596DF682,141,72,male,adult,no,,,no,no, ,,
Gopher Snake,6/21/2022,driving,cf,alive,no,75,100,98,yes,3D9.1A4FA106E8,342,97,male,adult,no,0,0,no,no,large bulge from very recent meal,,
Gopher Snake,7/24/2020,driving,cf,alive,no,74,98,97,yes,3D6.1D59A00D09,600,121,male,adult,no,,,no,no,on edge of road next to juniper. largest gopher snake I've seen.,,163.843922
Gopher Snake,6/12/2019 16:29,driving,cf,alive,no,70,98,97,yes,3D6.00184A5F94,173,82,male,adult,no,,,,,orange no holes,,
Gopher Snake,9/22/2020,incidental,NS,alive,no,80,96,96,yes,3D6.1D59A00D1D,181,83,female,adult,no,,,no,no,Basking on the road.,,
Gopher Snake,6/4/2019 23:32,driving,cf,alive,no,76,96,95,yes,3D6.1D5980480F,214,81,unknown ,adult ,no,,,,,couldn't sex ,,
Gopher Snake,5/18/2021,driving,cf,alive,no,70,96,95,no, ,361,91.7,female,adult,no,0,0,no,no, ,,
Gopher Snake,9/9/2021,driving,cf,alive,no,87,95,95,yes,3D9.1A4FA106C4,125,75.5,female,adult,no,0,0,no,no,crossing road going north,,
Gopher Snake,5/19/2020,driving,cf,alive,no,75,89,95,yes,3D6.1D59804851,235,85,male,adult,no,,,no,no,windy,,
Gopher Snake,5/18/2020,incidental,NGS,alive,no,70,95,94,yes,3D6.1D59ABD1C6,330,90,female,adult,no,,,no,no,Snake found basking on the road.,,
Gopher Snake,5/20/2021,driving,cf,alive,no,62,92,94,yes,3D9.1A4FA106F2,427,105.1,male,adult,no,0,0,no,no, ,,
Gopher Snake,6/12/2019 17:02,driving,cf,alive,no,72,88,94,yes,3DD.003D4501BB,360,99,male,adult,no,,,,,in back bag,,
Gopher Snake,6/5/2019 21:21,driving,cf,alive,no ,78,114,93,yes,3D6.00184A5F63,267,92,male,adult,no,,,,,,,
Gopher Snake,5/15/2019 22:06,driving,cf,alive,no,76,93,91,yes,3D6.001184A5F45,284,86,male,,,,,,,in orange bucket ,,
Gopher Snake,5/27/2020,driving,cf,alive,no,71,80,91,no, ,0,0,unknown,neonate,no,,,no,no,not captured,,
